SpecNo	Population	R1	R2	Phenotype	EOD_FILE	PN	NewPhenotype
650	DOG 	MSU-650-EO_R1_001.fastq.gz	MSU-650-EO_R2_001.fastq.gz	TP	PKING_650.mat	DOG_650	STP
651	DOG 	MSU-651-EO_R1_001.fastq.gz	MSU-651-EO_R2_001.fastq.gz	TP	PKING_651.mat	DOG_651	STP
652	DOG 	MSU-652-EO_R1_001.fastq.gz	MSU-652-EO_R2_001.fastq.gz	TP	PKING_652.mat	DOG_652	STP
664	DOV 	MSU-664-EO_R1_001.fastq.gz	MSU-664-EO_R2_001.fastq.gz	TP	PKING_664_NEW.mat	DOV_664	STP
665	DOV 	MSU-665-EO_R1_001.fastq.gz	MSU-665-EO_R2_001.fastq.gz	TP	PKING_665.mat	DOV_665	STP
666	DOV 	MSU-666-EO_R1_001.fastq.gz	MSU-666-EO_R2_001.fastq.gz	TP	PKING_666.mat	DOV_666	STP
667	DOV 	MSU-667-EO_R1_001.fastq.gz	MSU-667-EO_R2_001.fastq.gz	TP	PKING_667.mat	DOV_667	STP
668	DOV 	MSU-668-EO_R1_001.fastq.gz	MSU-668-EO_R2_001.fastq.gz	TP	PKING_668.mat	DOV_668	STP
6716	MOV 	468_3676_4107_N_PKINGP_6716_CAGATC_R1.fastq.gz	468_3676_4107_N_PKINGP_6716_CAGATC_R2.fastq.gz	TP	6716.eod	MOV_6716	STP
6716	MOV 	469_3676_4125_N_PKINGP_6716_CAGATC_R1.fastq.gz	469_3676_4125_N_PKINGP_6716_CAGATC_R2.fastq.gz	TP	6716.eod	MOV_6716	STP
6716	MOV 	470_3676_4142_N_PKINGP_6716_CAGATC_R1.fastq.gz	470_3676_4142_N_PKINGP_6716_CAGATC_R2.fastq.gz	TP	6716.eod	MOV_6716	STP
6718	MOV 	468_3676_4108_N_PKINGP_6718_ACAGTG_R1.fastq.gz	468_3676_4108_N_PKINGP_6718_ACAGTG_R2.fastq.gz	TP	6718.eod	MOV_6718	STP
6718	MOV 	469_3676_4126_N_PKINGP_6718_ACAGTG_R1.fastq.gz	469_3676_4126_N_PKINGP_6718_ACAGTG_R2.fastq.gz	TP	6718.eod	MOV_6718	STP
6718	MOV 	470_3676_4143_N_PKINGP_6718_ACAGTG_R1.fastq.gz	470_3676_4143_N_PKINGP_6718_ACAGTG_R2.fastq.gz	TP	6718.eod	MOV_6718	STP
