entity:participant_id	analysis_ready_bam	analysis_ready_bam_index	analysis_ready_bam_md5	output_vcf	output_vcf_index	Phenotype	PN	POP	NO	SpecNo	Species	Site	SiteName	Lat	Long	Date	SL	Sex	EOD_FILE	Notes	set_of_unaligned_bams	stage1_gvcf	stage1_gvcf_index	unaligned_bam_list
BAM_169						Wobble	BAM_169	BAM	169	MSU-169	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/6/19	46	Juvenile	PKING_169.mat					
BAM_171						Wobble	BAM_171	BAM	171	MSU-171	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/6/19	35	Juvenile	PKING_171.mat					
BAM_172						Wobble	BAM_172	BAM	172	MSU-172	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/6/19	46	Juvenile	PKING_172.mat					
BAM_175						Wobble	BAM_175	BAM	175	MSU-175	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/6/19	48	Juvenile	PKING_175.mat					
BAM_182						Wobble	BAM_182	BAM	182	MSU-182	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/6/19	51	Juvenile	PKING_182.mat					
BAM_247						Wobble	BAM_247	BAM	247	MSU-247	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/8/19	107	Male*	PKING_247.mat					
BAM_250						Wobble	BAM_250	BAM	250	MSU-250	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/8/19	71	Female*	PKING_250.mat					
BAM_6494							BAM_6494	BAM	6494	CU-6494	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	69.5	Juvenile	6494.eod					
BAM_6496						BP	BAM_6496	BAM	6496	CU-6496	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	62	Juvenile	6496.eod					
BAM_6497						BP	BAM_6497	BAM	6497	CU-6497	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	46	Juvenile	6497.eod					
BAM_6498						BP	BAM_6498	BAM	6498	CU-6498	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	44	Juvenile	6498.eod					
BAM_6499						Wobble	BAM_6499	BAM	6499	CU-6499	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	43	Juvenile	6499.eod					
BAM_6500						BP	BAM_6500	BAM	6500	CU-6500	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	44.5	Juvenile	6500.eod					
BAM_6501						BP	BAM_6501	BAM	6501	CU-6501	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	55	Juvenile	6501.eod					
BAM_6502						BP	BAM_6502	BAM	6502	CU-6502	Paramormyrops kingsleyae	2009-001	Bambomo Creek	-2.163416667	11.46185	7/26/09	40	Juvenile	6502.eod					
BAM_6542						BP	BAM_6542	BAM	6542	CU-6542	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/27/09	87	Juvenile / Male	6542.eod					
BAM_6544						BP	BAM_6544	BAM	6544	CU-6544	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/27/09	68.5	Juvenile	6544.eod					
BAM_6545						BP	BAM_6545	BAM	6545	CU-6545	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/27/09	89.5	Juvenile	6545.eod					
BAM_6546						Wobble	BAM_6546	BAM	6546	CU-6546	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/27/09	61	Juvenile	6546.eod					
BAM_6547						BP	BAM_6547	BAM	6547	CU-6547	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/27/09	79.5	Juvenile	6547.eod					
BAM_6548						BP	BAM_6548	BAM	6548	CU-6548	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	73	Juvenile / Male	6548.eod					
BAM_6549						BP	BAM_6549	BAM	6549	CU-6549	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	91	Juvenile / Female	6549.eod					
BAM_6550						Wobble	BAM_6550	BAM	6550	CU-6550	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	70.5	Juvenile / Female	6550.eod					
BAM_6552						BP	BAM_6552	BAM	6552	CU-6552	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	76	Juvenile / Female	6552.eod					
BAM_6553						BP	BAM_6553	BAM	6553	CU-6553	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	75	Juvenile / Female	6553.eod					
BAM_6555						BP	BAM_6555	BAM	6555	CU-6555	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	83	Female	6555.eod					
BAM_6557						BP	BAM_6557	BAM	6557	CU-6557	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	66	Juvenile	6557.eod					
BAM_6558						BP	BAM_6558	BAM	6558	CU-6558	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	74	Juvenile / Female	6558.eod					
BAM_6559						BP	BAM_6559	BAM	6559	CU-6559	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	85	Juvenile / Female	6559.eod					
BAM_6560						BP	BAM_6560	BAM	6560	CU-6560	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	69	Juvenile	6560.eod					
BAM_6561						BP	BAM_6561	BAM	6561	CU-6561	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	61	Juvenile	6561.eod					
BAM_6562						BP	BAM_6562	BAM	6562	CU-6562	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	72	Juvenile	6562.eod					
BAM_6564						BP	BAM_6564	BAM	6564	CU-6564	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	71	Juvenile	6564.eod					
BAM_6565						BP	BAM_6565	BAM	6565	CU-6565	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	85	Juvenile / Female	6565.eod					
BAM_6566						BP	BAM_6566	BAM	6566	CU-6566	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	ND	ND	6566.eod					
BAM_6567						BP	BAM_6567	BAM	6567	CU-6567	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	ND	ND	6567.eod					
BAM_6568						BP	BAM_6568	BAM	6568	CU-6568	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	79	Juvenile	6568.eod					
BAM_6569						BP	BAM_6569	BAM	6569	CU-6569	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/28/09	68	Juvenile	6569.eod					
BAM_6597						TP	BAM_6597	BAM	6597	CU-6597	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	59	Juvenile	6597.eod					
BAM_6598						BP	BAM_6598	BAM	6598	CU-6598	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	42.5	Juvenile	6598.eod					
BAM_6599						BP	BAM_6599	BAM	6599	CU-6599	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	47	Juvenile	6599.eod					
BAM_6602						BP	BAM_6602	BAM	6602	CU-6602	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	52	Juvenile	6602.eod					
BAM_6603						BP	BAM_6603	BAM	6603	CU-6603	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	47	Juvenile	6603.eod					
BAM_6604						Wobble	BAM_6604	BAM	6604	CU-6604	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	44	Juvenile	6604.eod					
BAM_6605							BAM_6605	BAM	6605	CU-6605	Paramormyrops kingsleyae	2009-004	Bambomo Creek	-2.163333333	11.462	7/30/09	51	Juvenile	6605.eod					
BAM_6834						Wobble	BAM_6834	BAM	6834	CU-6834	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	65	Juvenile / Female	6834.eod					
BAM_6835						Wobble	BAM_6835	BAM	6835	CU-6835	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	75	Juvenile / Female	6835.eod					
BAM_6836						Wobble	BAM_6836	BAM	6836	CU-6836	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	106	Male	6836.eod					
BAM_6837						Wobble	BAM_6837	BAM	6837	CU-6837	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	51	Juvenile / Female	6837.eod					
BAM_6838						Wobble	BAM_6838	BAM	6838	CU-6838	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	87	Male	6838.eod					
BAM_6839						Wobble	BAM_6839	BAM	6839	CU-6839	Paramormyrops kingsleyae	2019-025	Bambomo Creek	-2.163333333	11.462	8/12/09	50	Juvenile / Female	6839.eod	"There is an issue with this fish.  The EOD file is 6839, but the fish tag is 6869"				
BAM_6840						Wobble	BAM_6840	BAM	6840	CU-6840	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	86	Juvenile / Female	6840.eod					
BAM_6843						Wobble	BAM_6843	BAM	6843	CU-6843	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	70	Juvenile / Female	6843.eod					
BAM_6844						Wobble	BAM_6844	BAM	6844	CU-6844	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	80	Male	6844.eod					
BAM_6864						BP	BAM_6864	BAM	6864	CU-6864	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	ND	ND	6864.eod					
BAM_6865						BP	BAM_6865	BAM	6865	CU-6865	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	78	Juvenile / Female	6865.eod					
BAM_6866						BP	BAM_6866	BAM	6866	CU-6866	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	70	Juvenile / Female	6866.eod					
BAM_6867						BP	BAM_6867	BAM	6867	CU-6867	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	75	Juvenile / Female	6867.eod					
BAM_6868						BP	BAM_6868	BAM	6868	CU-6868	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	82	Juvenile / Female	6868.eod					
BAM_6869						BP	BAM_6869	BAM	6869	CU-6869	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/12/09	50	Juvenile / Female	6869.eod					
BAM_6870						BP	BAM_6870	BAM	6870	CU-6870	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	74	Juvenile / Female	6870.eod					
BAM_6871						BP	BAM_6871	BAM	6871	CU-6871	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	74	Juvenile / Female	6871.eod					
BAM_6879						Wobble	BAM_6879	BAM	6879	CU-6879	Paramormyrops kingsleyae	2009-025	Bambomo Creek	-2.163333333	11.462	8/13/09	74	Juvenile / Female	6879.eod					
BAVA_6619						BP	BAVA_6619	BAVA	6619	CU-6619	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	50	Juvenile	PKING_X_6619.mat					
BAVA_6620						BP	BAVA_6620	BAVA	6620	CU-6620	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	58	Juvenile	PKING_X_6620.mat					
BAVA_6621						BP	BAVA_6621	BAVA	6621	CU-6621	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	49	Juvenile	PKING_X_6621.mat					
BAVA_6622						BP	BAVA_6622	BAVA	6622	CU-6622	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	56	Juvenile	6622.eod					
BAVA_6623						BP	BAVA_6623	BAVA	6623	CU-6623	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	64	Juvenile	PKING_X_6623.mat					
BAVA_6624						Wobble	BAVA_6624	BAVA	6624	CU-6624	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	60	Juvenile	PKING_X_6624.mat					
BAVA_6625						Wobble	BAVA_6625	BAVA	6625	CU-6625	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	55	Juvenile	PKING_X_6625.mat					
BAVA_6626						BP	BAVA_6626	BAVA	6626	CU-6626	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	53	Juvenile	PKING_X_6626.mat					
BAVA_6627						BP	BAVA_6627	BAVA	6627	CU-6627	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	53	Juvenile	PKING_X_6627.mat					
BAVA_6628						BP	BAVA_6628	BAVA	6628	CU-6628	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	50	Juvenile	PKING_X_6628.mat					
